**********TEST ON************************Sun Also Rises**************('[0.9999246]', 'book i ? 1 ? ? was once ? ? ? of ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “how is he ” ? be all right ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he ? go out of the room ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “does he look badly ” “very ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was really hurt ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i told him i wanted to pop out and see you ? for a minute ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “is he going to fight ” ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? going with you if you ? mind ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? your boy friend ” ? asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had not listened to anything that ? had said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? got a bull ? ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8030405e-05]', '“she had a jew named ? but he turned out badly ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? stood up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i am not going to listen to that sort of ? from you michael ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? your boy friend ” ? well ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? him this afternoon ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? got a bull ? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00125134]', '“a beautiful bloody bull ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you mind walking over with me i want to talk to you ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “tell him all about your bull ? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.2411346e-05]', 'hell with your bull ? ” he ? the table so that all the ? and the dish of ? went over in a ?')
('[1.7881393e-05]', '“come on ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? get out of this ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” in the crowd crossing the square i said “how is it ” ? not going to see him after lunch until the fight ?')
('[1.7940998e-05]', 'his people come in and dress him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? very angry about me he says ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? was radiant ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she was happy ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the sun was out and the day was bright ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i feel altogether changed ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? no idea ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “anything you want me to do ” “no just go to the fight with me ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? see you at lunch ” “no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? with him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we were standing under the ? at the door of the hotel ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they were carrying tables out and setting them up under the ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? to take a turn out to the park ” ? asked ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i ? want to go up yet ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i fancy ? sleeping ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99996114]', 'past the theatre and out of the square and along through the ? of the fair moving with the crowd between the lines of booths')
('[0.00048298]', 'we came out on a cross street that led to the ? de ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we could see the crowd walking there all the ? dressed people ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they were making the turn at the upper end of the park ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? go there ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i ? want staring at just now ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we stood in the sunlight ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was hot and good after the rain and the clouds from the sea ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i hope the wind goes down ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? very bad for him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “so do i ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “he says the ? are all right ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “is that san ? ” ? looked at the yellow wall of the ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99458444]', 'where the show started on sunday ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? go in ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99860984]', 'do you mind ? rather like to pray a little for him or something ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we went in through the heavy leather door that moved very lightly ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was dark inside ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99994564]', 'many people were praying ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you saw them as your eyes ? themselves to the half light ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we knelt at one of the long wooden benches ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9969765]', 'after a little i felt ? ? beside me and saw she was looking straight ahead ? ? ? ? ? ? ? ? ?')
('[1.7881393e-05]', '“come on ” she whispered ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? get out of here ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00106362]', 'makes me damned nervous ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” outside in the hot ? of the street ? looked up at the tree tops in the wind ? ? ? ? ? ?')
('[0.00783637]', 'the praying had not been much of a success ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? know why i get so ? in church ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.943941e-05]', '“never does me any good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we walked along ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? damned bad for a religious atmosphere ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? the wrong type of face ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you know ” ? said ? not ? about him at all ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i just feel happy about him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i wish the wind would drop though ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? liable to go down by five ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? hope ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “you might pray ” i laughed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.943941e-05]', '“never does me any good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? never gotten anything i prayed for ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00322008]', 'have you ” “oh yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “oh ? ” said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1576881e-05]', '“maybe it works for some people though ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you ? look very religious ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? pretty religious ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “oh ? ” said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? start ? to day ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9343312]', 'to ? going to be bad enough as it is ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” it was the first time i had seen her in the old happy careless way since before she went off with ? ? ?')
('[0.00048298]', 'we were back again in front of the hotel ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.01575255]', 'all the tables were set now and already several were filled with people ? ? ? ? ? ? ? ? ? ? ? ?')
('[4.759431e-05]', '“do look after ? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? let him get too bad ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “your ? ? gone up stairs ” the german ? ? said in english ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was a continual eavesdropper ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? turned to him “thank you so much ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00322008]', 'have you anything else to say ” “no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “good ” said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? us a table for three ” i said to the german ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he smiled his dirty little pink and white smile ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? madam ? here ” “no ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? i think a ? for two will be ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? talk to him ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? must have been in bad shape ” she said on the stairs ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we passed ? on the stairs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he bowed and did not smile ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? see you at the ? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.390976e-05]', '“thank you so much ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we had stopped at the floor our rooms were on ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she went straight down the hall and into ? room ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she did not knock ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she simply opened the door went in and closed it behind her ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i stood in front of the door of ? room and knocked ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there was no answer ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i tried the knob and it opened ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00014147]', 'inside the room was in great disorder ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.01575255]', 'all the bags were opened and clothing was strewn around ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there were empty bottles beside the bed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? lay on the bed looking like a death mask of himself ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he opened his eyes and looked at me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ” he said very slowly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? getting a lit ? sleep ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? want ? a lit ? sleep for a long time ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “let me cover you over ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? quite warm ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? go ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i have ? got ten to sleep yet ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? sleep ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? worry boy ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? got a bull ? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“but her jew has gone away ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he turned his head and looked at me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? good thing what ” “yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[5.6385994e-05]', 'now go to sleep ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you ought to get some sleep ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? just start ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? go ? to get a lit ? sleep ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he shut his eyes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i went out of the room and turned the door to quietly ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.835823e-05]', 'bill was in my room reading the paper ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.7287388]', '“see ? ” “yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? go and eat ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i ? eat down stairs with that german head ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was damned ? when i was getting ? up stairs ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “he was ? to us too ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? go out and eat in the town ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we went down the stairs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00032681]', 'on the stairs we passed a girl coming up with a covered tray ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.6136637e-05]', '“there goes ? lunch ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“and the ? ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9173697]', 'outside on the terrace under the ? the german head ? came up ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', 'his red cheeks were shiny ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was being polite ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i ? a ? for two for you gentlemen ” he said ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8686056e-05]', '“go sit at it ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we went on out across the street ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we ate at a ? in a side street off the square ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they were all men ? in the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was full of smoke and drinking and singing ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the food was good and so was the wine ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we did not talk much ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9999187]', 'afterward we went to the ? and watched the ? come to the boiling point ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? came over soon after lunch ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she said she had looked in the room and that ? was asleep ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00108632]', 'when the ? boiled over and toward the bull ring we went with the crowd ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? sat at the ? between bill and me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', 'directly below us was the ? the ? between the stands and the red fence of the ? ? ? ? ? ? ? ?')
('[1.8030405e-05]', 'behind us the ? stands filled solidly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.4557114e-05]', 'out in front beyond the red fence the sand of the ring was smooth rolled and yellow ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it looked a little heavy from the rain but it was dry in the sun and firm and smooth ? ? ? ? ? ?')
('[0.00783637]', 'the ? ? and bull ring servants came down the ? carrying on their shoulders the wicker ? of fighting ? and ? ? ?')
('[6.681681e-05]', 'they were ? and ? folded and packed in the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9985347]', 'opened the heavy leather ? cases so the red wrapped ? of the sheaf of ? showed as the leather case leaned against the fence')
('[0.0011839]', 'unfolded the dark stained red flannel of the ? and fixed ? in them to spread the stuff and give the ? something to hold')
('[0.18742159]', '? watched it all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she was absorbed in the professional details ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? his name ? on all the ? and ? ” she said ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.898408e-05]', '“why do they call them ? ” “i ? know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i wonder if they ever ? them ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i ? think so ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it might spoil the color ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “the blood must ? them ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1576881e-05]', '“how one ? mind the blood ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” below in the narrow passage of the ? the ? ? ? everything ? ? ? ? ? ? ? ? ? ? ?')
('[0.01575255]', 'all the seats were full ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8000603e-05]', 'above all the boxes were full ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there was not an empty seat except in the ? box ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00108632]', 'when he came in the fight would start ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.0384789e-05]', 'into the ? the bull fighters were standing their arms ? in their ? talking waiting for the signal to march in across the ?')
('[0.18742159]', '? was watching them with the glasses ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1219254e-05]', '“here would you like to look ” i looked through the glasses and saw the three ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? was in the ? ? on his left ? on his right ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.10060909]', 'of them were their people and behind the ? back in the ? and in the open space of the corral i saw the ?')
('[0.18742159]', '? was wearing a black suit ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', 'his ? hat was low down over his eyes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i could not see his face clearly under the hat but it looked badly marked ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was looking straight ahead ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? was smoking a cigarette ? holding it in his hand ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? looked ahead his face ? and yellow his long wolf ? out ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was looking at nothing ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.9609928e-05]', 'neither he nor ? seemed to have anything in common with the others ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they were all alone ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the ? came in there was ? above us in the grand stand and i handed the glasses to ? ? ? ? ? ?')
('[0.0001685]', 'there was applause ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the music started ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? looked through the glasses ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1219254e-05]', '“here take them ” she said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.015995e-05]', 'through the glasses i saw ? speak to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? straightened up and dropped his cigarette and looking straight ahead their heads back their free arms swinging the three ? walked out ? ?')
('[1.9818544e-05]', 'opening out all striding in step all the ? ? everybody with free arms swinging and behind rode the ? their ? rising like ?')
('[1.8030405e-05]', 'behind all came the two ? of mules and the bull ring servants ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the ? bowed holding their hats on before the ? box and then came over to the ? below us ? ? ? ? ?')
('[0.18742159]', '? ? took off his heavy gold ? cape and handed it over the fence to his ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he said something to the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00074989]', 'close below us we saw ? lips were puffed both eyes were ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', 'his face was ? and swollen ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the ? ? took the cape looked up at ? and came over to us and handed up the cape ? ? ? ? ?')
('[0.18742159]', '? it out in front of you ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? leaned forward ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the cape was heavy and smoothly stiff with gold ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the ? ? looked back shook his head and said something ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9962807]', 'a man beside me leaned over toward ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“he ? want you to spread it ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you should fold it and keep it in your lap ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? folded the heavy cape ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? did not look up at us ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was speaking to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? had sent his formal cape over to some friends ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he looked across at them and smiled his wolf smile that was only with the mouth ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? leaned over the ? and asked for the water ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it and ? poured water over the ? of his fighting cape and then ? the lower folds in the sand with his ? foot')
('[0.18742159]', '? that for ” ? asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8566847e-05]', '“to give it weight in the wind ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
